T09481	manu; Misgurnus anguillicaudatus (oriental weatherfish)
T10799	pdab; Paramisgurnus dabryanus (large-scale loach)
T04658	ipu; Ictalurus punctatus (channel catfish)
T09387	ifu; Ictalurus furcatus (blue catfish)
T05759	phyp; Pangasianodon hypophthalmus (striped catfish)
T08004	smeo; Silurus meridionalis (southern catfish)
T08119	tfd; Tachysurus fulvidraco (yellow catfish)
T09596	tvc; Tachysurus vachellii
T10780	cgar; Clarias gariepinus (North African catfish)
T10798	ngra; Neoarius graeffei (lesser salmon catfish)
T09921	trn; Trichomycterus rosablanca
T05042	amex; Astyanax mexicanus (Mexican tetra)
T09004	cmao; Colossoma macropomum (tambaqui)
T05787	eee; Electrophorus electricus (electric eel)
T09045	char; Clupea harengus (Atlantic herring)
T10667	spil; Sardina pilchardus (sardine)
T11137	asad; Alosa sapidissima (American shad)
T02386	tru; Takifugu rubripes (torafugu)
T09160	tfs; Takifugu flavidus (sansaifugu)
T04346	tng; Tetraodon nigroviridis (spotted green pufferfish)
T04920	ncc; Notothenia coriiceps (black rockcod)
T09643	tben; Trematomus bernacchii (emerald rockcod)
T07513	cgob; Cottoperca gobio
T09629	pgeo; Pseudochaenichthys georgianus (South Georgia icefish)
T09661	gacu; Gymnodraco acuticeps
T09869	emac; Eleginops maclovinus (Patagonian blennie)
T07331	ely; Epinephelus lanceolatus (giant grouper)
T08419	efo; Epinephelus fuscoguttatus (brown-marbled grouper)
T07454	plep; Plectropomus leopardus (leopard coralgrouper)
T07345	sluc; Sander lucioperca (pikeperch)
T11640	svit; Sander vitreus (walleye)
T07493	ecra; Etheostoma cragini (Arkansas darter)
T08457	esp; Etheostoma spectabile (orangethroat darter)
T07494	pflv; Perca flavescens (yellow perch)
T11622	pflt; Perca fluviatilis (European perch)
T07457	gat; Gasterosteus aculeatus (three-spined stickleback)
T07626	ppug; Pungitius pungitius (ninespine stickleback)
T09102	afb; Anoplopoma fimbria (sablefish)
T09199	clum; Cyclopterus lumpus (lumpfish)
T09868	pswi; Pseudoliparis swirei (Mariana hadal snailfish)
T10471	cana; Clinocottus analis (woolly sculpin)
T11969	tbu; Taurulus bubalis (long-spined sea-scorpion)
T10484	cve; Cebidichthys violaceus (monkeyface prickleback)
T11660	amir; Anarhichas minor (spotted wolffish)
T07309	msam; Micropterus salmoides (largemouth bass)
T08948	schu; Siniperca chuatsi (mandarin fish)
T11455	earm; Enoplosus armatus (old wife)
T07473	cud; Cheilinus undulatus (humphead wrasse)
T10596	spul; Semicossyphus pulcher (California sheephead)
T10666	lmix; Labrus mixtus (cuckoo wrasse)
T11192	htc; Halichoeres trimaculatus (threespot wrasse)
T08233	alat; Acanthopagrus latus (yellowfin seabream)
T10427	astr; Antennarius striatus (striated frogfish)
T11454	pklu; Pempheris klunzingeri
T04659	lco; Larimichthys crocea (large yellow croaker)
T12006	ammm; Ammodytes marinus (lesser sand-eel)
T02814	mze; Maylandia zebra (zebra mbuna)
T06104	onl; Oreochromis niloticus (Nile tilapia)
T07295	oau; Oreochromis aureus (blue tilapia)
T02443	ola; Oryzias latipes (Japanese medaka)
T07439	oml; Oryzias melastigma (Indian medaka)
T09849	csai; Cololabis saira (Pacific saury)
T02923	xma; Xiphophorus maculatus (southern platyfish)
T05908	xco; Xiphophorus couchianus (Monterrey platyfish)
T07363	xhe; Xiphophorus hellerii (green swordtail)
T05149	pret; Poecilia reticulata (guppy)
T07984	pfor; Poecilia formosa (Amazon molly)
T08005	plai; Poecilia latipinna (sailfin molly)
T08022	pmei; Poecilia mexicana (shortfin molly)
T07758	gaf; Gambusia affinis (western mosquitofish)
T09758	pprl; Poeciliopsis prolifica (blackstripe livebearer)
T06110	cvg; Cyprinodon variegatus (sheepshead minnow)
T07496	ctul; Cyprinodon tularosa (White Sands pupfish)
T08099	gmu; Girardinichthys multiradiatus (darkedged splitfin)
T05163	nfu; Nothobranchius furzeri (turquoise killifish)
T05608	kmr; Kryptolebias marmoratus (mangrove rivulus)
T06063	alim; Austrofundulus limnaeus (annual killifish)
T08042	nwh; Nematolebias whitei (Rio pearlfish)
T11698	ltu; Leuresthes tenuis (California grunion)
T12083	tbt; Telmatherina bonti
T08342	mcep; Mugil cephalus (flathead mullet)
T06018	aoce; Amphiprion ocellaris (clown anemonefish)
T10523	eja; Embiotoca jacksoni (black perch)
T10614	bfre; Brachyistius frenatus (kelp perch)
T04895	lcf; Lates calcarifer (barramundi perch)
T04866	csem; Cynoglossus semilaevis (tongue sole)
T06037	pov; Paralichthys olivaceus (Japanese flounder)
T07721	ssen; Solea senegalensis (Senegalese sole)
T10853	ssoe; Solea solea (common sole)
T07778	hhip; Hippoglossus hippoglossus (Atlantic halibut)
T08308	hsp; Hippoglossus stenolepis (Pacific halibut)
T09923	pplt; Pleuronectes platessa (European plaice)
T09850	smau; Scophthalmus maximus (turbot)
T05606	sdu; Seriola dumerili (greater amberjack)
T06058	slal; Seriola lalandi dorsalis (Yellowtail amberjack)
T07311	xgl; Xiphias gladius (swordfish)
T04969	hcq; Hippocampus comes (tiger tail seahorse)
T08785	sscv; Syngnathus scovelli (Gulf pipefish)
T09681	sbia; Syngnathoides biaculeatus (alligator pipefish)
T09682	pee; Phycodurus eques (leafy seadragon)
T09737	ptao; Phyllopteryx taeniolatus (common seadragon)
T05002	bpec; Boleophthalmus pectinirostris (great blue-spotted mudskipper)
T10929	eny; Eucyclogobius newberryi (tidewater goby)
T05607	malb; Monopterus albus (swamp eel)
T08231	bspl; Betta splendens (Siamese fighting fish)
T09718	sjo; Scomber japonicus (chub mackerel)
T10651	ssco; Scomber scombrus (Atlantic mackerel)
T11154	tty; Thunnus thynnus (Atlantic bluefin tuna)
T10832	gmh; Gadus morhua (Atlantic cod)
T12102	zfa; Zeus faber (John dory)
